IDE;aitem1;aitem2;aitem3;aitem4;aitem5;aitem6;aitem7;aitem8;aitem9;aitem10;aitem11;aitem12;aitem13;aitem14;aitem15;aitem16;aitem17;aitem18;aitem19;aitem20;aitem21;aitem22;aitem23;aitem24;aitem25;aitem26;aitem27;aitem28;aitem29;aitem30;aitem31;aitem32;aitem33;aitem34;aitem35;aitem36;aitem37
R177;3;3;5;5;2;2;1;5;4;3;5;1;2;4;1;2;4;1;5;4;3;2;2;5;1;1;3;5;3;2;4;1;4;2;5;4;4
R178;5;4;1;5;5;3;1;2;2;2;3;5;3;3;3;4;2;3;2;2;4;5;4;1;5;4;4;4;1;1;5;1;1;4;5;1;4
R179;5;3;1;1;4;1;4;4;3;5;2;5;3;2;4;1;2;1;1;2;1;2;5;5;2;2;4;5;2;5;2;3;3;2;2;4;3
R180;4;2;4;5;4;2;3;5;1;2;2;3;5;4;1;3;4;2;4;2;5;1;2;1;2;1;4;5;1;2;3;4;2;1;2;2;2
R181;4;5;4;5;3;5;1;1;3;4;1;2;1;2;4;2;3;5;5;4;3;4;4;1;1;2;2;2;4;5;4;4;1;1;3;2;1
R182;4;3;1;5;2;3;2;5;2;1;3;1;1;4;5;5;4;1;2;5;1;3;2;1;3;3;2;4;3;3;2;1;3;4;2;4;2
R183;3;3;3;4;4;3;5;5;3;5;2;5;4;2;5;4;1;5;3;4;4;2;4;5;3;5;4;5;4;2;5;5;2;2;2;3;4
R184;5;1;3;3;2;5;3;4;5;5;2;1;4;2;1;2;5;1;1;5;4;3;5;1;1;3;5;3;5;2;4;4;1;5;1;5;2
R185;2;3;3;2;2;4;3;1;1;2;3;4;1;4;4;5;4;1;2;1;2;5;4;3;2;3;1;4;5;1;3;3;2;4;3;2;4
R186;5;4;5;2;5;5;4;1;3;1;1;3;4;2;5;1;5;4;3;5;3;3;5;2;2;4;1;4;1;2;1;3;5;1;4;5;2
R187;4;1;1;2;3;3;1;5;1;5;4;2;3;2;4;4;3;5;2;3;1;1;5;4;5;1;5;2;2;1;5;2;1;3;4;3;2
R188;4;3;2;2;2;2;3;2;1;1;4;2;2;5;3;5;3;4;4;4;5;2;2;4;4;3;4;4;5;2;1;2;2;1;2;5;2
R189;5;4;5;4;2;2;3;3;4;5;5;5;1;1;4;5;3;5;2;5;3;5;2;2;5;5;5;2;1;4;5;2;2;3;4;4;2
R190;4;5;3;5;2;2;5;2;5;4;2;5;2;3;4;2;4;4;5;1;3;2;5;2;5;3;2;1;1;4;5;4;5;3;5;1;4
R191;4;4;1;3;2;5;1;1;5;5;1;5;2;1;3;3;4;5;4;4;4;3;4;5;3;1;4;4;4;1;1;1;2;3;2;1;3
R192;4;3;3;3;2;4;3;1;3;2;1;3;2;4;2;2;1;3;2;5;2;4;5;2;2;5;1;1;4;1;2;4;2;4;1;2;4
R193;2;2;5;4;4;5;5;4;4;4;4;4;1;3;2;2;4;2;5;3;2;1;5;1;4;4;1;3;5;5;1;1;5;2;2;1;3
R194;3;5;2;5;3;2;2;5;5;4;2;4;1;3;2;1;2;5;3;1;4;1;3;5;5;4;1;1;1;5;2;5;4;1;4;5;1
R195;1;3;1;4;3;1;5;1;2;3;1;4;5;3;4;4;2;1;1;3;4;4;4;4;3;4;1;4;5;1;5;1;1;2;2;1;2
R196;2;5;1;3;5;3;3;3;1;4;4;5;1;5;1;5;2;2;4;1;4;5;3;1;2;2;1;3;2;3;4;2;2;2;3;3;2
R197;4;4;5;2;5;5;1;2;4;2;1;3;1;3;1;1;3;2;1;5;2;1;3;1;5;3;5;4;4;2;4;3;3;1;5;3;5
R198;1;2;1;2;4;2;2;3;2;1;5;5;1;1;2;4;3;2;2;1;1;5;4;5;1;4;1;4;5;5;1;4;2;2;4;5;5
R199;4;1;1;5;5;3;4;5;2;4;3;3;4;5;1;2;3;2;4;3;1;1;5;1;5;3;2;3;3;2;1;4;4;4;5;4;1
R200;4;4;2;5;4;2;1;2;2;1;3;2;4;4;1;1;3;5;5;1;2;5;2;3;3;5;5;2;5;2;3;4;4;4;1;1;1
R201;4;3;2;1;2;1;3;3;5;5;1;4;3;3;5;2;2;1;4;2;3;5;5;4;3;5;5;1;4;3;1;2;4;5;3;4;5
R202;4;1;5;1;2;5;1;3;3;5;5;3;4;3;2;5;4;1;2;2;2;4;3;3;4;1;2;3;2;4;4;2;5;1;4;5;4
R203;2;5;2;5;3;3;5;1;5;1;4;2;2;2;4;5;1;1;5;2;3;2;4;2;4;4;5;5;5;1;3;5;5;5;5;5;1
R204;5;1;1;4;3;2;5;5;4;5;5;1;4;3;5;5;5;4;3;4;4;3;5;3;5;3;4;2;3;4;4;4;3;4;2;5;4
R205;1;1;3;1;5;2;1;3;5;1;3;4;1;1;1;5;4;2;3;5;4;2;2;5;5;3;2;3;5;5;4;1;3;2;4;4;2
R206;1;4;4;2;2;1;3;2;4;5;2;1;1;2;3;3;5;1;3;5;2;1;4;2;5;2;2;5;2;4;4;3;1;1;4;4;5
R207;2;4;5;1;4;4;2;2;3;4;1;4;4;3;5;4;3;3;4;5;1;4;4;3;5;1;3;1;1;2;5;1;1;2;1;3;5
R208;4;3;4;5;1;2;3;3;3;2;2;2;4;2;5;3;4;2;1;3;4;5;5;5;5;4;4;3;5;5;4;1;4;1;4;4;2
R209;4;2;3;3;4;2;4;5;2;1;4;3;4;1;3;4;5;4;3;3;4;5;4;4;2;2;5;4;1;2;3;1;5;3;3;4;3
R210;2;4;4;4;2;5;3;3;5;4;5;1;4;4;5;4;4;5;3;5;3;5;5;4;2;3;5;5;3;5;1;5;2;2;5;3;4
R211;5;1;5;5;2;5;5;2;5;3;4;5;3;4;1;4;2;2;5;4;4;5;3;2;2;2;1;4;2;3;1;4;1;2;4;4;2
R212;4;3;4;5;5;4;4;4;1;4;5;5;1;5;4;3;5;1;1;4;2;1;2;5;3;5;2;2;2;5;3;4;1;1;3;1;5
R213;1;5;5;2;1;2;1;5;3;5;1;1;3;2;3;1;5;2;4;1;5;2;1;2;4;4;1;4;4;1;4;1;1;5;1;1;5
R214;1;1;5;1;5;1;4;1;4;5;3;3;5;5;2;5;3;3;1;5;1;2;3;4;1;2;3;5;5;1;1;3;4;3;1;2;5
R215;1;5;5;3;1;5;4;5;4;5;3;2;5;4;1;5;3;5;3;4;3;2;2;4;1;1;4;5;3;1;3;4;4;5;3;1;4
R216;3;5;1;3;4;4;1;2;5;5;3;4;3;5;3;1;3;1;2;4;5;4;3;5;2;1;3;1;5;1;1;1;2;2;5;3;5
R217;1;3;3;1;2;5;2;5;2;4;4;3;3;5;1;1;3;3;3;2;3;3;2;2;1;4;5;4;4;1;2;3;5;1;5;4;5
R218;4;2;2;1;3;5;4;4;4;2;5;5;2;4;1;1;5;3;4;4;1;3;3;2;4;4;1;3;2;2;1;5;2;2;3;4;1
R219;1;2;4;1;1;2;5;1;5;2;3;4;1;4;5;3;3;5;4;1;4;3;2;5;4;2;1;2;1;3;4;5;1;2;3;5;3
R220;2;4;3;5;2;2;4;2;5;4;2;4;5;3;1;5;1;5;2;3;3;5;2;5;2;2;5;3;1;4;4;5;2;3;1;5;2
R221;5;4;5;4;1;4;3;4;4;5;1;3;5;2;4;2;1;3;1;4;2;3;2;2;5;1;5;4;4;4;4;1;4;1;5;2;4
R222;5;4;4;1;1;2;5;4;3;3;4;2;3;3;1;4;3;2;4;3;4;4;1;4;5;5;5;1;3;2;1;2;2;3;4;2;1
R223;4;2;1;1;3;3;5;1;2;5;4;4;2;5;5;1;2;5;5;5;2;2;3;4;5;2;5;4;2;4;1;3;5;1;4;4;2
R224;2;4;4;3;3;1;2;5;3;5;1;3;4;1;3;1;2;5;5;3;5;4;1;2;4;1;2;5;4;5;2;3;5;3;2;2;5
R225;2;4;5;5;4;4;2;5;1;4;4;5;5;2;5;3;3;5;5;2;5;5;5;2;2;5;5;4;2;2;4;5;3;1;5;3;1
R226;5;2;3;1;5;1;4;2;3;4;2;5;1;5;1;4;1;1;1;2;1;4;2;2;4;4;2;1;5;2;2;5;5;5;2;1;4
R227;2;2;5;3;5;4;5;3;2;4;3;2;4;3;5;4;1;2;1;4;4;2;3;3;5;5;1;4;3;3;3;1;5;2;2;1;5
R228;1;5;5;3;4;1;2;1;1;4;2;1;3;4;5;3;2;4;1;4;4;2;5;3;3;2;2;2;2;1;1;2;2;3;1;5;2
R229;5;2;5;2;1;3;4;3;1;5;5;2;4;1;1;2;2;2;1;2;5;4;1;1;1;1;2;1;4;2;5;1;3;1;1;2;4
R230;4;3;4;1;1;2;5;4;2;2;2;3;2;2;1;3;3;4;5;3;2;3;3;4;5;2;2;1;4;3;4;5;2;5;2;1;2
R231;5;5;4;3;2;1;5;3;4;4;3;3;1;2;5;4;4;1;5;1;5;1;4;4;4;4;2;5;5;4;2;2;5;3;5;3;2
R232;4;2;2;3;4;1;4;1;2;2;2;4;2;3;4;4;4;4;2;5;5;3;4;1;1;2;1;2;1;1;5;4;1;2;1;2;5
R233;1;1;4;1;4;5;3;3;5;5;4;5;5;1;1;1;3;1;5;3;5;3;2;1;3;2;2;5;5;2;2;1;2;4;5;5;3
R234;4;4;4;1;4;5;4;4;4;2;5;1;5;3;1;4;5;1;4;1;5;4;3;5;2;3;3;5;4;1;3;1;4;1;1;5;4
R235;3;2;5;1;1;1;2;5;5;1;4;5;4;2;1;3;2;1;2;4;2;4;4;5;1;3;2;1;2;4;3;2;1;1;1;3;2
R236;4;2;2;1;1;3;4;5;3;5;4;3;5;1;5;4;5;1;1;3;4;3;2;1;4;3;1;2;2;3;3;1;4;5;1;2;4
R237;3;2;4;2;5;4;4;5;3;2;2;5;3;1;2;4;1;4;5;4;2;4;3;5;5;4;1;2;2;1;4;4;4;5;3;1;1
R238;4;3;1;5;3;1;1;3;5;3;5;1;5;5;2;4;1;2;5;1;4;5;1;5;3;3;1;5;1;4;5;3;5;3;1;1;1
R239;1;2;2;2;1;5;3;2;3;2;2;4;2;4;2;3;1;1;1;4;2;4;2;1;5;3;4;4;4;1;4;2;3;5;1;1;5
R240;1;5;1;5;5;1;5;2;4;5;3;5;4;2;4;2;5;2;4;3;5;3;4;1;1;1;3;1;2;1;2;3;5;4;1;4;3
R241;4;2;1;2;3;4;5;4;4;4;5;4;2;1;5;1;1;3;1;4;2;4;4;1;1;5;4;3;5;4;4;4;3;5;5;2;4
R242;1;5;1;2;1;2;1;4;4;1;2;2;4;5;2;4;3;3;4;4;2;1;4;1;4;3;4;1;3;5;2;5;5;5;4;5;1
R243;3;5;4;3;2;1;2;1;2;4;1;1;3;2;1;5;2;2;4;2;2;5;5;3;4;3;5;4;5;5;4;2;1;4;1;1;5
R244;2;3;2;4;5;5;4;1;1;5;1;2;1;5;5;2;4;1;4;4;2;5;3;2;1;3;3;5;3;4;2;5;3;1;5;2;2
R245;2;4;3;2;3;4;1;2;2;1;1;2;3;4;4;3;2;5;3;2;4;5;1;2;3;4;4;5;4;5;2;3;4;5;1;5;4
R246;4;4;2;2;1;3;3;1;2;3;4;3;4;5;3;2;2;3;1;1;4;3;1;3;2;4;4;1;5;5;5;1;5;3;2;4;4
R247;4;1;4;4;2;5;3;2;3;2;1;4;3;2;2;4;2;4;5;5;5;3;1;2;5;5;2;1;3;4;5;4;2;3;4;5;1
R248;1;3;4;3;2;5;2;1;5;4;3;3;4;2;4;2;1;5;4;5;5;3;1;2;1;1;5;3;3;4;5;5;1;5;5;3;4
R249;3;1;3;4;3;5;5;2;4;1;3;4;2;1;3;4;1;4;2;4;3;2;5;2;4;3;3;3;2;1;2;1;5;2;3;2;1
R250;2;2;4;4;3;1;4;2;5;5;5;4;1;1;2;5;5;5;1;4;2;1;5;3;4;3;5;2;2;1;2;3;3;1;3;5;1
R251;1;4;5;5;2;3;2;3;2;1;2;4;2;2;3;1;3;3;3;5;3;5;1;4;1;5;4;4;1;1;1;1;3;5;2;4;1
R252;3;4;1;4;3;5;5;2;4;1;4;5;5;1;3;1;5;4;2;5;2;1;2;2;4;2;4;3;3;4;4;4;1;2;4;2;2
R253;1;2;1;2;5;2;4;3;3;5;5;5;5;5;5;5;3;4;3;5;3;3;5;3;4;5;2;5;3;2;1;1;1;1;5;5;1
R254;1;1;2;5;4;5;3;1;3;1;5;1;5;5;5;5;5;1;2;2;4;4;1;1;2;1;4;1;4;5;4;1;2;4;1;2;3
R255;5;2;5;2;2;5;2;4;2;3;1;2;1;4;5;4;3;1;5;1;3;5;3;5;5;1;5;3;1;2;4;3;2;5;1;4;2
R256;4;4;3;1;1;2;2;1;5;5;1;1;3;5;2;4;3;2;1;1;1;3;2;5;5;1;2;2;5;4;1;1;4;3;2;4;2
R257;3;1;2;5;1;2;3;1;1;3;1;4;1;3;4;1;1;5;3;4;1;5;3;3;4;1;3;4;5;2;4;4;1;2;5;1;3
R258;4;1;5;2;3;3;2;3;1;1;1;2;5;4;3;3;1;4;3;5;5;2;1;1;1;3;5;5;1;4;3;1;2;3;4;2;4
R259;4;2;1;1;1;1;1;2;4;3;1;2;3;1;1;3;1;4;3;4;1;2;5;3;2;2;2;1;1;4;2;4;2;2;4;4;1
R260;5;3;3;1;4;4;1;5;1;2;3;1;2;4;1;1;1;5;5;2;5;1;4;1;2;2;2;5;2;1;4;1;1;5;4;3;4
R261;2;2;4;5;3;3;3;2;3;1;2;3;4;3;2;1;4;1;1;2;3;2;5;4;3;3;5;4;1;4;1;4;3;3;2;5;1
R262;3;2;3;3;3;3;4;3;2;5;2;3;4;3;4;5;2;5;3;1;2;3;1;5;4;3;4;4;5;1;3;2;1;4;5;5;4
R263;2;2;1;1;1;4;1;2;2;1;4;4;3;1;2;4;1;1;1;5;5;1;2;2;3;1;1;4;2;2;4;2;2;5;3;1;3
R264;1;1;1;5;4;4;2;4;4;2;1;3;3;3;4;1;3;4;4;2;1;2;5;1;3;2;1;2;5;5;3;3;2;2;2;1;3
R265;4;5;2;5;4;5;5;5;1;2;1;3;2;2;1;1;4;2;5;5;1;3;5;4;4;3;1;2;1;5;2;3;1;4;5;1;2
R266;4;4;1;1;5;2;4;2;4;5;5;1;4;4;3;2;3;3;1;1;5;5;1;1;4;4;1;3;4;1;1;3;4;1;4;4;3
R267;3;2;5;3;3;4;2;4;3;3;3;5;2;1;1;3;5;1;2;2;5;1;2;4;1;4;3;1;3;1;2;1;2;3;2;2;5
R268;4;4;1;2;4;5;1;2;2;2;2;3;3;2;2;1;2;1;4;1;2;1;2;3;5;4;4;5;5;4;5;5;1;5;3;3;2
R269;5;1;5;4;2;5;4;3;4;1;1;4;3;4;3;3;3;5;4;1;3;5;2;4;5;5;3;5;2;1;3;1;1;4;5;2;1
R270;4;4;2;1;3;3;3;4;3;4;4;1;4;5;4;3;4;5;5;4;5;4;2;5;3;4;1;1;4;4;2;4;3;1;5;1;2
R271;1;5;2;2;3;2;5;1;3;3;2;1;1;2;1;2;3;3;4;5;4;1;3;3;1;4;5;3;5;1;2;3;2;2;4;4;2
R272;3;5;4;4;1;3;2;3;5;4;2;3;3;1;1;1;4;3;1;5;3;1;2;1;1;5;4;4;3;3;3;5;2;5;3;4;1
R273;5;2;5;1;1;5;3;2;1;3;1;4;2;4;1;1;1;5;3;1;5;5;3;4;5;5;1;5;2;4;3;3;3;4;1;2;4
R274;2;5;4;1;2;4;1;5;4;3;2;3;2;5;3;4;5;4;3;4;4;3;4;3;4;3;2;3;5;1;5;5;5;1;4;4;5
R275;1;2;1;3;4;3;5;4;2;4;4;5;2;2;4;3;4;5;3;2;3;3;5;2;2;4;2;4;3;5;1;2;4;5;1;1;1
R276;2;5;4;3;2;3;3;3;1;3;5;1;5;4;3;4;1;1;4;3;5;1;2;4;3;3;4;4;4;1;2;4;1;4;3;3;2
R277;3;4;4;2;4;2;5;5;5;3;4;1;4;4;2;2;1;3;2;4;5;3;5;2;1;4;3;2;5;2;1;1;2;1;3;3;2
R278;1;2;5;4;2;4;3;3;1;3;3;2;1;1;3;1;1;3;1;2;4;4;2;5;5;3;4;3;2;3;1;5;3;3;3;1;4
R279;1;4;3;4;2;3;4;3;3;2;3;2;1;5;5;4;3;1;5;5;4;3;1;1;1;2;3;1;4;5;4;2;5;5;2;3;4
R280;1;4;3;4;4;1;3;3;2;1;5;2;4;2;3;2;4;3;4;3;3;3;2;2;1;1;4;3;2;2;3;5;1;4;3;3;1
R281;4;1;4;5;5;1;2;2;2;2;2;1;2;3;1;5;2;2;1;2;3;1;4;5;5;2;4;3;3;1;2;1;3;5;1;1;2
R282;5;4;4;2;2;3;3;2;5;2;2;1;2;3;5;5;3;2;3;4;2;3;3;5;5;1;3;4;2;3;5;1;4;1;1;5;1
R283;1;3;5;4;2;1;4;1;4;2;5;3;4;3;3;3;4;3;1;3;1;5;3;2;3;1;5;4;4;4;4;2;4;2;2;2;1
R284;4;4;1;1;1;5;2;3;5;4;5;2;4;3;2;3;3;1;5;1;4;3;1;1;3;4;1;4;2;2;5;4;2;2;4;4;1
R285;1;1;5;1;5;3;1;3;1;2;4;5;1;4;5;2;1;3;2;3;5;1;4;5;2;1;4;4;4;3;5;5;5;4;3;4;2
R286;2;2;2;3;4;4;5;2;5;4;1;1;4;2;2;2;3;3;4;2;3;3;5;3;1;3;5;5;5;1;5;3;5;4;5;2;2
R287;4;4;2;1;2;5;5;5;1;1;1;1;1;5;3;1;2;2;5;2;1;1;1;4;5;4;1;2;3;5;2;2;3;5;4;4;3
R288;4;4;2;3;4;1;5;5;3;5;1;2;2;2;2;1;3;3;4;1;2;4;4;5;4;4;4;4;1;1;2;1;1;5;1;4;4
R289;2;5;3;4;2;1;4;2;4;4;5;3;2;5;1;2;2;1;2;4;5;5;3;3;5;1;1;1;4;1;3;5;4;2;1;1;2
R290;1;4;4;3;1;2;3;2;5;5;4;5;1;1;5;1;1;4;1;4;4;5;3;5;2;1;3;1;4;1;4;3;2;1;2;3;2
R291;1;1;1;3;3;3;1;1;2;5;4;4;2;4;2;2;3;1;3;3;2;4;4;1;3;4;5;1;5;3;3;3;5;2;2;5;5
R292;5;1;3;2;2;5;1;5;5;4;5;3;4;2;3;1;4;3;1;3;5;1;4;3;2;3;3;4;4;3;4;2;3;1;3;2;1
R293;5;4;3;1;5;5;4;5;3;3;3;2;3;4;5;2;4;2;2;2;4;3;4;2;5;4;2;4;2;3;1;2;3;2;5;1;5
R294;4;1;3;2;1;4;5;5;2;3;2;5;5;4;1;4;5;4;2;2;2;4;5;3;1;4;5;3;2;1;2;5;1;5;5;4;3
R295;5;1;1;2;4;5;4;2;2;1;4;1;3;2;5;3;3;4;1;5;3;5;2;1;5;3;2;2;4;1;1;5;5;4;4;2;3
R296;5;5;3;3;1;1;2;4;5;3;1;5;5;2;2;1;1;5;1;2;5;3;2;4;4;4;3;4;4;4;4;3;3;2;1;5;1
R297;3;4;3;4;2;5;1;1;1;2;4;3;2;2;2;1;4;4;5;4;3;2;1;5;2;5;1;1;4;4;5;1;4;5;4;1;5
R298;4;1;3;2;4;1;1;3;5;5;3;1;2;4;3;3;3;3;2;3;1;1;2;2;1;4;3;5;2;3;5;3;4;5;2;5;5
R299;3;4;1;4;4;2;3;1;1;2;1;3;4;1;3;3;2;1;5;5;3;3;3;3;5;4;2;5;3;4;3;1;5;4;5;5;1
R300;4;1;4;4;4;2;4;1;5;3;1;4;4;4;3;3;1;2;4;2;1;4;5;3;5;5;1;4;3;4;1;2;1;2;1;1;1
R301;2;4;4;2;4;1;2;3;2;5;5;1;3;3;4;5;2;1;2;3;4;3;1;1;1;4;2;5;1;1;2;1;2;3;1;4;4
R302;2;3;3;1;5;2;4;3;4;5;1;3;2;1;4;5;3;3;5;2;2;4;5;2;4;1;1;3;3;5;2;2;2;2;4;3;3
R303;4;4;1;3;4;2;1;2;4;1;2;3;5;5;1;4;3;5;4;4;3;1;1;5;2;3;1;5;4;5;5;1;1;2;5;2;3
R304;3;3;2;4;3;1;1;5;3;2;2;3;5;2;2;4;1;2;2;1;1;1;4;4;5;3;3;3;5;4;5;1;2;4;1;3;2
R305;2;5;5;1;1;5;1;2;5;4;5;4;1;4;3;3;2;1;3;3;2;1;3;3;2;5;1;1;3;5;4;5;3;1;3;4;2
R306;2;3;5;5;2;5;5;4;2;2;3;3;1;1;3;3;3;5;3;3;2;2;3;3;3;5;5;1;5;2;3;3;5;3;1;4;5
R307;4;5;2;1;1;5;4;5;3;1;5;4;3;3;1;3;1;4;3;3;2;3;5;2;4;4;4;4;5;5;3;5;4;2;3;2;5
R308;4;1;4;1;3;5;4;3;1;4;4;4;1;5;3;5;3;3;2;3;2;3;4;4;3;1;2;3;1;5;5;2;1;3;2;1;3
R309;2;4;3;4;4;5;2;2;5;5;3;5;5;4;1;2;2;1;4;5;2;3;4;2;4;3;2;3;3;5;3;1;1;5;2;5;2
R310;4;4;4;1;2;4;3;5;5;2;3;5;5;1;3;5;1;2;2;1;3;1;2;4;4;1;2;2;5;3;5;3;4;4;5;2;4
R311;3;2;2;3;3;3;1;5;5;1;5;1;2;2;5;2;3;4;4;2;2;2;1;1;4;2;4;4;1;3;4;4;1;1;4;2;4
R312;4;2;2;4;1;3;1;1;1;1;3;5;2;3;3;3;1;5;3;3;3;3;5;4;5;1;1;5;1;5;1;1;3;1;3;5;5
R313;1;1;3;2;5;1;4;3;2;4;4;2;2;1;2;4;1;3;4;4;5;3;3;4;1;2;2;2;3;4;3;5;2;2;1;5;3
R314;5;4;5;1;1;5;5;5;5;3;2;1;3;2;1;3;1;2;4;5;2;3;1;2;2;2;4;4;2;3;1;1;3;2;2;1;2
R315;3;3;5;1;3;2;2;3;1;2;1;5;1;4;1;1;2;3;3;4;2;2;1;4;1;2;5;3;2;3;5;5;2;2;4;4;1
R316;5;4;5;1;3;5;4;3;4;4;5;5;1;2;1;1;2;5;1;4;4;4;5;3;5;5;4;3;3;3;3;2;2;5;5;3;2
R317;5;3;2;4;4;5;4;5;2;4;3;2;1;2;5;2;2;4;2;5;2;5;4;2;4;4;2;4;5;4;5;4;1;4;4;2;4
R318;2;2;2;5;5;1;2;4;2;3;1;2;5;1;5;3;1;1;4;5;3;1;1;3;3;4;4;2;1;5;1;1;1;2;3;4;5
R319;2;5;5;5;1;5;4;4;3;3;3;1;5;1;3;2;1;2;2;1;2;1;2;4;1;3;2;5;2;1;5;5;4;1;5;3;4
R320;3;2;2;2;3;4;3;5;1;4;4;2;1;4;3;1;1;5;3;1;4;4;5;2;1;4;3;2;2;1;3;5;4;1;4;5;1
R321;4;4;3;1;4;3;5;5;4;5;5;3;3;4;2;5;5;5;2;5;1;4;3;2;4;5;4;3;2;5;2;4;1;2;1;3;1
R322;3;4;1;5;2;5;2;1;5;2;1;5;5;5;1;1;2;3;4;1;4;2;4;1;2;1;5;4;2;1;5;3;4;4;5;4;3
R323;1;2;1;1;4;3;2;5;5;4;3;4;2;1;4;3;1;5;5;1;5;2;5;5;1;4;4;5;5;1;3;1;5;2;5;3;2
R324;3;3;3;1;3;3;4;1;2;4;3;3;5;5;4;4;2;3;4;1;1;4;5;5;1;3;4;2;2;2;1;2;3;4;4;4;4
R325;1;4;5;3;2;4;5;5;5;5;2;4;4;2;1;1;5;4;2;4;5;2;1;3;2;4;1;4;1;4;4;4;4;5;1;3;5
R326;3;1;3;5;5;5;3;4;5;5;4;4;4;3;4;4;1;1;4;4;5;1;2;1;2;2;2;2;1;2;2;3;5;5;4;3;2
R327;3;5;2;3;2;3;2;5;3;2;3;5;2;4;5;5;1;3;2;5;3;5;3;4;2;2;2;2;3;4;5;3;2;4;2;1;1
R328;5;4;1;1;2;5;3;5;3;3;4;3;4;4;1;1;4;4;5;3;4;2;4;3;4;1;2;4;4;4;2;5;2;4;4;4;5
R329;5;3;1;5;1;1;2;4;5;3;2;4;1;3;4;5;5;5;2;5;5;1;2;4;2;5;1;4;2;4;2;3;2;5;3;1;2
R330;4;3;2;4;4;4;2;4;5;3;2;4;2;5;1;4;3;4;2;2;4;2;1;5;2;3;3;2;4;1;3;2;4;3;3;2;3
R331;2;4;3;5;1;2;2;4;4;5;1;2;2;5;3;3;5;1;5;2;4;4;5;5;1;4;2;2;5;4;2;4;4;3;4;4;5
R332;4;2;3;1;3;2;1;5;2;2;4;2;4;2;4;2;3;1;1;5;2;4;4;1;4;4;1;1;5;3;1;5;2;5;4;1;3
R333;4;4;4;3;1;5;5;2;1;5;4;2;3;3;5;4;5;4;2;1;1;1;4;4;3;2;4;2;3;5;2;5;3;4;4;1;3
R334;3;2;1;4;4;2;3;5;5;1;5;3;1;1;2;3;4;4;2;3;4;1;1;2;2;5;2;2;3;3;2;1;2;1;4;1;3
R335;4;5;5;3;5;1;2;2;3;5;3;4;1;2;5;1;3;2;4;3;4;1;1;1;5;3;5;5;2;5;4;2;3;5;1;2;2
R336;1;5;1;5;1;1;1;4;4;2;4;2;4;4;1;4;2;3;4;1;1;5;3;3;4;5;4;5;1;3;4;5;2;1;2;4;1
R337;5;3;2;3;2;3;3;4;1;3;5;2;3;4;4;3;4;2;5;4;3;3;2;1;4;5;4;1;1;1;5;1;3;3;4;5;4
R338;4;1;1;1;1;3;1;4;1;1;2;3;2;3;2;2;4;3;3;1;2;2;3;4;4;1;3;4;5;1;3;3;1;2;5;4;4
R339;5;3;4;3;3;5;2;4;3;4;1;3;2;3;4;4;4;1;4;2;4;1;2;1;1;5;3;5;5;2;1;3;3;2;4;4;5
R340;5;2;1;5;4;3;3;3;1;3;3;2;1;3;5;2;5;2;1;4;2;2;4;4;5;3;5;2;5;5;2;3;4;4;5;1;4
R341;2;1;2;2;3;2;5;5;5;4;2;1;3;5;1;4;5;3;3;2;2;2;5;5;4;2;5;5;5;2;2;2;2;4;1;4;2
R342;3;4;3;4;3;5;5;1;1;1;2;2;2;1;4;1;1;2;2;3;4;2;1;4;5;3;4;5;3;4;1;2;2;2;3;2;1
R343;5;4;1;5;5;2;2;5;5;2;2;2;2;4;2;3;3;3;5;4;5;4;3;2;1;3;1;3;3;5;4;4;1;4;5;4;3
R344;4;5;3;3;4;4;5;2;5;1;4;2;3;3;4;2;2;5;1;4;3;4;2;4;4;1;1;2;1;3;5;1;2;3;2;1;5
R345;5;1;5;2;4;3;5;2;2;2;3;2;5;5;4;4;4;4;5;1;1;4;2;5;4;2;3;5;3;3;4;1;4;3;4;2;3
R346;2;5;2;3;3;2;3;2;4;1;4;2;4;1;3;4;3;3;3;3;1;4;3;4;5;2;3;5;2;1;5;3;4;5;2;4;1
R347;4;1;1;1;2;1;4;4;1;2;3;3;2;5;3;1;2;4;4;3;1;2;1;4;5;5;3;3;4;5;5;5;5;4;5;1;2
R348;2;3;3;2;3;1;4;2;2;3;5;4;1;3;3;4;1;4;5;4;1;4;2;3;1;2;2;5;2;3;2;2;4;2;5;5;3
R349;3;5;2;3;5;2;5;5;4;3;1;5;5;2;3;2;5;5;2;2;3;3;2;3;1;1;4;3;4;1;5;2;2;5;1;5;1
R350;3;1;3;2;2;2;3;1;2;2;2;1;3;4;2;3;5;4;2;4;1;5;1;1;4;1;2;1;5;2;3;3;4;1;2;5;4
R351;4;2;3;1;5;2;2;5;5;2;4;3;1;2;1;3;1;1;1;1;1;2;3;2;4;1;4;4;4;2;3;2;1;5;4;2;5
R352;2;3;4;1;2;2;5;3;5;5;1;3;1;1;3;3;2;1;5;1;1;1;5;1;5;5;5;2;5;3;1;1;2;1;2;5;5
R353;4;4;2;5;1;4;4;3;1;1;3;3;1;4;1;1;3;5;2;1;2;4;4;4;2;1;4;2;1;1;1;2;4;5;4;5;5
R354;4;2;4;4;4;2;4;4;5;1;1;3;3;2;4;3;5;4;4;4;2;1;1;2;3;5;1;1;3;5;5;3;1;3;1;2;4
R355;5;4;3;2;4;2;1;5;4;1;2;3;3;5;4;3;4;5;2;1;3;2;1;1;1;3;5;5;2;1;3;1;4;5;3;2;2
